Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Heathcote,2233,900000,2016,6
Heatherbrae,,449000,2016,6
Hebersham,2770,632000,2016,6
Heckenberg,2168,695000,2016,6
Heddon Greta,2321,417000,2016,6
Helensburgh,2508,595000,2016,6
Henley,,1780000,2016,6
Higher Macdonald,2775,635000,2016,6
Highfields,2289,491000,2016,6
Hillsborough,2290,491000,2016,6
Hillsborough,2320,417000,2016,6
Hillsdale,,861000,2016,6
Hinchinbrook,2168,695000,2016,6
Hobartville,2753,635000,2016,6
Holgate,2250,600000,2016,6
Holmesville,2286,491000,2016,6
Holsworthy,2173,695000,2016,6
Homebush,2140,715000,2016,6
Homebush West,2140,708000,2016,6
Horningsea Park,2171,695000,2016,6
Hornsby,2077,1070000,2016,6
Horseshoe Bend,2320,417000,2016,6
Horsfield Bay,2256,600000,2016,6
Horsley,2530,595000,2016,6
Horsley Park,2175,700000,2016,6
Hoxton Park,2171,695000,2016,6
Hunters Hill,,1780000,2016,6
Huntingwood,2148,632000,2016,6
Huntley,2530,595000,2016,6
Huntleys Cove,,1780000,2016,6
Huntleys Point,,1780000,2016,6
Hurlstone Park,2193,700000,2016,6
Hurstville,2220,773000,2016,6
Hurstville Grove,2220,880000,2016,6
Illawong,2234,900000,2016,6
Ingleburn,2565,545000,2016,6
Ingleside Heights,,1391000,2016,6
Islington,2296,491000,2016,6
Jamberoo,2533,688000,2016,6
Jamisontown,2750,589000,2016,6
Jannali,,900000,2016,6
Jaunter,2787,578000,2016,6
Jerrara,2533,688000,2016,6
Jesmond,2299,491000,2016,6
Jewells,2280,491000,2016,6
Jilliby,2259,480000,2016,6
Jordan Springs,2747,589000,2016,6
Kahibah,2290,491000,2016,6
Kanahooka,2530,595000,2016,6
Kanangra,2787,578000,2016,6
Kangy Angy,,480000,2016,6
Kanwal,2259,480000,2016,6
Kareela,2232,900000,2016,6
Kariong,2250,600000,2016,6
Karuah,,449000,2016,6
Kearns,2558,545000,2016,6
Kearsley,,316000,2016,6
Keinbah,2320,417000,2016,6
Keiraville,2500,595000,2016,6
Kellyville,2155,1089000,2016,6
Kellyville Ridge,2155,632000,2016,6
Kembla Grange,2526,595000,2016,6
Kembla Heights,2526,595000,2016,6
Kemblawarra,2505,595000,2016,6
Kensington,2033,1100000,2016,6
Kenthurst,2156,1089000,2016,6
Kentlyn,2560,545000,2016,6
Kiama,2533,688000,2016,6
Kiama Downs,2533,688000,2016,6
Kiama Heights,,688000,2016,6
Kilaben Bay,2283,491000,2016,6
Killara,2071,1600000,2016,6
Killarney Heights,,1035000,2016,6
Killarney Vale,,480000,2016,6
Killcare,2257,600000,2016,6
Killcare Heights,2257,600000,2016,6
Kincumber,2251,600000,2016,6
Kincumber South,2251,600000,2016,6
Kings Langley,2147,632000,2016,6
Kings Park,,632000,2016,6
Kingsford,2032,1100000,2016,6
Kingswood,2747,589000,2016,6
Kirrawee,2232,900000,2016,6
Kirribilli,,1050000,2016,6
Kitchener,2325,316000,2016,6
Knights Hill,,688000,2016,6
Kogarah,2217,880000,2016,6
Kogarah Bay,2217,880000,2016,6
Koolewong,2256,600000,2016,6
Koonawarra,2530,595000,2016,6
Kooragang,2304,491000,2016,6
Kotara,2289,491000,2016,6
Kotara East,2305,491000,2016,6
Kotara South,2289,491000,2016,6
Kurmond,2757,635000,2016,6
Kurnell,2231,900000,2016,6
Kurraba Point,,1050000,2016,6
Kurri Kurri,2327,316000,2016,6
Kyeemagh,2216,760000,2016,6
Kyle Bay,2221,880000,2016,6
La Perouse,2036,1100000,2016,6
Lake Haven,,480000,2016,6
Lake Heights,2502,595000,2016,6
Lake Munmorah,,480000,2016,6
Lakelands,2282,491000,2016,6
Lakemba,2195,700000,2016,6
Lakesland,2572,680000,2016,6
Lalor Park,2147,632000,2016,6
Lambton,2299,491000,2016,6
Lane Cove,2066,835000,2016,6
Lane Cove West,,835000,2016,6
Lansdowne,2163,820000,2016,6
Lansvale,2166,700000,2016,6
Largs,2320,417000,2016,6
Lavender Bay,,1050000,2016,6
Leichhardt,,1324000,2016,6
Leightonfield,2163,820000,2016,6
Lemon Tree,,480000,2016,6
Lemon Tree Passage,,449000,2016,6
Leonay,2750,589000,2016,6
Lethbridge Park,2770,632000,2016,6
Leumeah,2560,545000,2016,6
Lewisham,,985000,2016,6
Liberty Grove,2138,1006000,2016,6
Lilli Pilli,2229,900000,2016,6
Lilyfield,,1324000,2016,6
Lilyvale,2508,595000,2016,6
Lindfield,2070,1600000,2016,6
Linley Point,,835000,2016,6
Linns Hill,2570,680000,2016,6
Lisarow,2250,600000,2016,6
Little Bay,2036,1100000,2016,6
Little Jilliby,2259,480000,2016,6
Little Pelican,2281,491000,2016,6
Little Wobby,2256,600000,2016,6
Liverpool,2170,695000,2016,6
Llandilo,2747,589000,2016,6
Lochinvar,2321,417000,2016,6
Loftus,2232,900000,2016,6
Londonderry,2753,589000,2016,6
Long Jetty,2261,480000,2016,6
Long Point,2564,545000,2016,6
Longueville,,835000,2016,6
Loquat Valley,,1391000,2016,6
Lorn,2320,417000,2016,6
Louth Park,2320,417000,2016,6
Lovett Bay,,1391000,2016,6
Lower Macdonald,2775,635000,2016,6
Lower Mangrove,2250,600000,2016,6
Lucas Heights,,900000,2016,6
Lugarno,2210,773000,2016,6
Lurnea,2170,695000,2016,6
Luskintyre,2321,417000,2016,6
Macarthur Heights,,545000,2016,6
MacMasters Beach,,600000,2016,6
Macquarie Fields,2564,545000,2016,6
Macquarie Hills,2285,491000,2016,6
Macquarie Links,2565,545000,2016,6
Macquarie Park,2113,1020000,2016,6
Macquarie Pass,,525000,2016,6
Macquarie University campus,,1020000,2016,6
Maddens Plains,2508,595000,2016,6
Magenta,2261,480000,2016,6
Maianbar,2230,900000,2016,6
Maitland,2320,417000,2016,6
Maitland Bar,2850,417000,2016,6
Maitland North,2320,417000,2016,6
Maitland Vale,2320,417000,2016,6
Malabar,2036,1100000,2016,6
Mallabula,,449000,2016,6
Manahan,2200,820000,2016,6
Mangerton,2500,595000,2016,6
Mangrove Creek,,600000,2016,6
Mangrove Mountain,,600000,2016,6
Manly,2095,1673000,2016,6
Manly Vale,2093,1035000,2016,6
Mannering Park,2259,480000,2016,6
Marayong,2148,632000,2016,6
Mardi,2259,480000,2016,6
