stop_id,stop_name,stop_lat,stop_long,mode,state code
,Granville Memorial Dr Ramp,-33.83290042,151.0114055,train,NSW
,Green Square Botany Rd Stairs,-33.90596608,151.2030771,train,NSW
,Green Square Botany Rd Stairs,-33.90581837,151.2030314,train,NSW
,Green Square O'Riordan St Escalators,-33.90627864,151.2026934,train,NSW
,Green Square O'Riordan St Lift,-33.90621492,151.2025402,train,NSW
,Greta Nelson St Ramp,-32.68678796,151.384282,train,NSW
,Greta Mansfield St Ramp,-32.68667582,151.3840538,train,NSW
,Guildford Railway Tce Ramp,-33.854233,150.9846821,train,NSW
,Guildford Military Rd Ramp,-33.8538226,150.984647,train,NSW
,Guildford Railway Tce Stairs,-33.85444912,150.9845955,train,NSW
,Guildford Railway Tce Lift,-33.85456824,150.9844866,train,NSW
,Guildford Military Rd Ramp,-33.85416769,150.9844037,train,NSW
,Guildford Military Rd Stairs,-33.85425733,150.9843285,train,NSW
,Guildford Military Rd Stairs,-33.85433088,150.9842777,train,NSW
,Guildford Military Rd Lift,-33.85449232,150.984227,train,NSW
,Gymea Gymea Bay Rd Lift,-34.03490791,151.0852082,train,NSW
,Gymea Gymea Bay Rd Stairs,-34.03487034,151.0851825,train,NSW
,Hamilton Beaumont  St Stairs,-32.91802537,151.7485113,train,NSW
,Hamilton Beaumont  St Ramp,-32.9185304,151.7483975,train,NSW
,Hamilton Beaumont  St Stairs,-32.91838537,151.7482699,train,NSW
,Hamilton Beaumont  St Ramp,-32.91841859,151.7482552,train,NSW
,Harris Park Marion St Ramp,-33.82335758,151.0079326,train,NSW
,Harris Park Station W St Stairs,-33.82326239,151.0074636,train,NSW
,Hawkesbury River Danger Rd Stairs,-33.54700863,151.2267151,train,NSW
,Hawkesbury River Danger Rd Stairs,-33.54710145,151.2265988,train,NSW
,Hawthorne LR Darley Rd Path,-33.87958216,151.1475502,train,NSW
,Hawthorne LR Darley Rd Path,-33.8795003,151.1471067,train,NSW
,Hazelbrook Great Western Hwy Stairs,-33.72353033,150.454573,train,NSW
,Hazelbrook Great Western Hwy Ramp,-33.72308654,150.454017,train,NSW
,Hazelbrook Railway Pde Path,-33.72367342,150.4539673,train,NSW
,Heathcote Wilson Pde Path,-34.08792484,151.0084291,train,NSW
,Heathcote Wilson Pde Ramp,-34.08793975,151.0084144,train,NSW
,Heathcote Princes Hwy Ramp,-34.0877856,151.008298,train,NSW
,Heathcote Princes Hwy Path,-34.08780235,151.0082859,train,NSW
,Helensburgh Tunnel Rd Lift,-34.17718912,150.9942468,train,NSW
,Helensburgh Tunnel Rd Stairs,-34.17714736,150.9940859,train,NSW
,Hexham Maitland  Rd Stairs,-32.8287522,151.68432,train,NSW
,High Street High St Stairs,-32.7413273,151.5644242,train,NSW
,High Street Le Darcy Dr Ramp,-32.74197207,151.5641955,train,NSW
,Hilldale Hilldale Rd Ramp,-32.50448435,151.649805,train,NSW
,Holsworthy The Boulevarde  Stairs,-33.96292706,150.9565045,train,NSW
,Holsworthy The Boulevarde  Ramp,-33.96297936,150.9564564,train,NSW
,Holsworthy The Boulevarde  Lift,-33.96282915,150.9563519,train,NSW
,Homebush Loftus Cres Stairs,-33.86641951,151.0864214,train,NSW
,Homebush The Crescent  Ramp,-33.866968,151.0861075,train,NSW
,Homebush The Crescent  Stairs,-33.8669269,151.0860951,train,NSW
,Hornsby Hunter Lane Ramp,-33.703839,151.099774,train,NSW
,Hornsby George St Ramp,-33.70355385,151.0988427,train,NSW
,Hornsby George St Stairs,-33.70356981,151.0988312,train,NSW
,Hornsby George St Ramp,-33.70373548,151.0987466,train,NSW
,Hornsby Station St Path,-33.70347962,151.0980916,train,NSW
,Dulwich Hill Wardell Rd Stairs,-33.91105837,151.1411463,train,NSW
,Hurlstone Park Duntroon St Path,-33.91018981,151.1325419,train,NSW
,Hurstville Forest Rd Stairs,-33.96703441,151.1028477,train,NSW
,Hurstville Ormonde Pde Stairs,-33.96768463,151.102359,train,NSW
,Hurstville Ormonde Pde Lift,-33.96763205,151.1022885,train,NSW
